date,open,high,low,close,volume
2016-02-19,421.18,422.0,414.0,419.54,5015.53810237
2016-02-18,414.9,424.9,413.4,421.18,8589.07368864
2016-02-17,407.51,421.11,404.0,414.9,11842.63082874
2016-02-16,399.28,407.8,396.0,407.51,8354.83032093
2016-02-15,405.0,409.71,393.4,399.28,7906.69773619
2016-02-14,390.99,406.71,390.59,405.0,9758.39271132
2016-02-13,383.27,390.99,382.0,390.99,7324.96634134
2016-02-12,377.98,383.48,377.07,383.27,5996.09236146
2016-02-11,379.66,380.5,373.54,377.98,7471.96039009
2016-02-10,373.22,383.85,372.12,379.66,10006.63329253
2016-02-09,370.91,377.0,369.12,373.22,5779.60735622
2016-02-08,375.0,378.99,369.99,370.91,6943.10816682
2016-02-07,375.39,380.0,373.04,375.0,2885.48241846
2016-02-06,385.0,384.98,371.35,375.39,5735.69706556
2016-02-05,387.82,389.5,382.99,385.0,7372.61395629
2016-02-04,368.38,391.88,367.95,387.82,13446.47968297
2016-02-03,373.05,374.0,365.0,368.38,7107.78660836
2016-02-02,371.81,375.0,369.73,373.05,5719.11332356
2016-02-01,368.49,378.2,366.53,371.81,7255.13421769
2016-01-31,375.64,379.3,364.7,368.49,4166.66582034
2016-01-30,378.22,380.42,372.95,375.64,2587.10717327
2016-01-29,379.75,383.99,363.73,378.22,13544.14541999
2016-01-28,394.95,395.56,376.0,379.75,11414.04549852
2016-01-27,391.77,397.0,390.31,394.95,4262.62933663
2016-01-26,390.9,397.7,386.2,391.77,6589.15355022
2016-01-25,402.16,402.31,385.5,390.9,8040.83085608
2016-01-24,386.4,405.97,385.36,402.16,5448.8452132
2016-01-23,382.63,395.0,381.05,386.4,7664.89092787
2016-01-22,409.59,410.07,374.45,382.63,14742.8419172
2016-01-21,416.32,421.25,404.59,409.59,9414.55707194
2016-01-20,376.76,422.98,372.53,416.32,25180.78241948
2016-01-19,385.49,386.92,375.59,376.76,7223.00324232
2016-01-18,380.16,388.5,373.63,385.49,7015.54403737
2016-01-17,387.28,391.14,376.0,380.16,8418.65363509
2016-01-16,360.0,392.07,352.0,387.28,25023.83237925
2016-01-15,429.94,429.8,360.0,360.0,37318.73872845
2016-01-14,433.09,434.0,427.0,429.94,4417.84801304
2016-01-13,446.61,446.97,424.5,433.09,12816.43550355
2016-01-12,448.59,449.0,442.88,446.61,4239.01240287
2016-01-11,446.76,451.13,438.0,448.59,7906.62750051
2016-01-10,451.05,450.89,440.8,446.76,4069.32027415
2016-01-09,453.7,454.0,446.68,451.05,4413.86389162
2016-01-08,455.76,465.0,444.51,453.7,11272.24472846
